name,pred
239278.cif,-6.876689432
239279.cif,-7.929262363
239663.cif,-3.786631544
239762.cif,-6.259804889
239763.cif,-4.065318005
240269.cif,-6.405469575
240749.cif,-8.147426338
242170.cif,-3.704457594
246816.cif,-3.612124952
248343.cif,-7.606271607
248414.cif,-6.479071693
2512.cif,-7.399129883
251656.cif,-4.845483652
253240.cif,-3.786727023
254045.cif,-3.29000055
254046.cif,-3.705791213
254047.cif,-4.01301337
254048.cif,-4.28002668
254406.cif,-5.5877726
255464.cif,-7.704897908
255465.cif,-7.704897908
255466.cif,-7.755847409
255468.cif,-7.700923975
255749.cif,-2.231367331
257190.cif,-3.786727023
257464.cif,-6.484295856
257739.cif,-7.554710072
257740.cif,-7.634486993
257741.cif,-7.65407321
257819.cif,-5.623786691
257820.cif,-4.311536084
258187.cif,-4.015487094
258921.cif,-4.034098456
258922.cif,-4.163797402
259166.cif,-5.095619402
259200.cif,-3.396671823
259201.cif,-3.702427277
259205.cif,-3.396671823
261343.cif,-5.845123929
262075.cif,-7.20059846
262923.cif,-6.03142809
263760.cif,-4.768487958
263762.cif,-3.952356868
263763.cif,-3.952356868
263764.cif,-3.952356868
263765.cif,-3.931898545
263766.cif,-4.115821971
263767.cif,-5.720288276
264462.cif,-4.034191445
264463A.cif,-4.883833613
264463B.cif,-5.179362574
264526.cif,-3.897059698
26540.cif,-6.181284179
267438.cif,-3.396276908
280927.cif,-7.325476677
281119.cif,-6.588513174
281198.cif,-7.594328357
290832.cif,-4.671779475
291218.cif,-8.767266014
291220.cif,-10.40738645
291512.cif,-7.675777273
31050.cif,-5.34616587
34118.cif,-6.490672238
34302.cif,-2.945823019
34362.cif,-7.698063963
35168.cif,-6.842885061
35275.cif,-4.883199959
35473.cif,-7.294296428
391258.cif,-4.648994155
402062.cif,-5.656017447
413370.cif,-5.735062508
416442.cif,-6.428504955
420126.cif,-6.998320562
420286.cif,-5.625939649
421479.cif,-6.516809131
422259.cif,-3.612124952
424834.cif,-4.195414198
426103.cif,-7.100743819
429902.cif,-4.969712267
431319.cif,-7.496170113
432169.cif,-3.88259406
45511.cif,-5.533082912
46022.cif,-8.129063283
46849.cif,-4.800644282
46852.cif,-5.238765239
4819.cif,-6.899275427
49646.cif,-6.279972254
50151.cif,-3.468070446
50152.cif,-4.369631404
50305.cif,-4.656860935
50306.cif,-4.623808001
55665.cif,-8.638227331
55751.cif,-3.26100524
61337.cif,-7.037306626
62137.cif,-6.597168121
642223.cif,-6.595037631
65125.cif,-8.996320931
65930.cif,-5.745768536
66007.cif,-5.754122226
66576.cif,-4.759569245
67265.cif,-2.764457148
69017.cif,-4.53274912
69678.cif,-5.918977101
73276.cif,-4.54388756
73835.cif,-4.140946951
74957.cif,-5.674647918
74958.cif,-5.479258063
74959.cif,-3.316289257
81047.cif,-5.657229066
81980.cif,-9.308951355
83380.cif,-5.177418778
83832.cif,-7.892880123
8407.cif,-4.152371196
84091.cif,-5.073513129
84763.cif,-4.970925976
84765.cif,-4.970925976
85171.cif,-7.312701485
86166.cif,-8.582049172
86169.cif,-7.829904174
87413.cif,-6.846045139
87823.cif,-6.067894392
87824.cif,-6.566981076
89617.cif,-3.881082001
9082.cif,-6.536931628
9105.cif,-6.244020292
91843.cif,-3.227062791
91844.cif,-4.173577905
92200.cif,-4.73249979
94894.cif,-4.04924345
95606.cif,-4.319506082
95607.cif,-4.478255811
95785.cif,-5.070273587
95979.cif,-5.884467602
99517.cif,-6.790112817
ccdc_2255440.cif,-8.324503549
LGPS_025Sb_300K.cif,-2.357890135
LGPSI_01.cif,-4.456295912
LGPSI_02.cif,-3.850783205
LGPSI_025_N.cif,-3.504043274
LGPSI_030_N.cif,-3.323379336
LGPSI_04.cif,-3.382768836
LGPSI_05.cif,-3.350083397
LGPSI_060_N.cif,-3.350083397
LGPSI_07.cif,-3.493925923
Li10Ge03Sn06P2S12.cif,-2.130255856
Li10Ge06Sn03P2S12.cif,-2.117475807
Li2HfCl6_Ideal Layered Structure_SSW-NN.cif,-2.812515303
Li2P2S6.cif,-3.95162968
Li2ZrCl4_p3m1.cif,-2.97160081
Li2ZrCl6_c2m.cif,-2.97160081
Li3ErCl6_BM_1min.cif,-3.468070446
Li3SbS4_neutron.cif,-4.152371196
Li3YBr6_mechanochemical.cif,-3.591912778
Li3YCl6_mechanochemical.cif,-3.820847561
Li4Ge0.25Sn0.75S4.cif,-4.648746433
Li4Ge0.25Sn0.75Se4.cif,-5.487924799
Li4Ge0.50Sn0.50S4.cif,-4.602675532
Li4Ge0.50Sn0.50Se4.cif,-5.664117484
Li4Ge0.75Sn0.25S4.cif,-4.386772653
Li4Ge0.75Sn0.25Se4.cif,-5.552242214
Li4GeSe4.cif,-5.994560713
Li4SnS2Se2.cif,-4.705313748
Li4SnS3Se.cif,-4.442426586
Li4SnS4.cif,-4.671779475
Li4SnSe4.cif,-5.6280536
Li4SnSSe3.cif,-4.728211453
Li5_9SbS4_9I1_1_HT.cif,-4.055920099
Li5.5PS4.5Cl1.5.cif,-2.870697063
Li5.75PS4.75Cl1.25.cif,-3.06192735
Li58PSe48Br12.cif,-2.248142273
Li59PSe49Br11.cif,-2.31603985
Li6.125P0.875Si0.125S5Br.cif,-3.07112953
Li6.1Si0.1Sb0.9S5I.cif,-3.710249976
Li6.25PS5.25Cl0.75.cif,-3.633521791
Li6.2Ge0.2Sb0.8S5I.cif,-3.650164794
Li6.2Sn0.2Sb0.8S5I.cif,-3.844614896
Li6.4Si0.4Sb0.6S5I.cif,-2.940304289
Li6.5P0.5Si0.5S5Br.cif,-2.699992621
Li6.5PS5.5Cl0.5.cif,-3.596101036
Li6.5Si0.5Sb0.5S5I.cif,-2.596834314
Li6.75PS5.75Cl0.25.cif,-3.596101036
Li6.7Si0.7Sb0.3S5I.cif,-2.409247453
Li6P1Si0S5Br.cif,-3.611053584
Li6PS2Se3I.cif,-3.727612541
Li6PS3Se2I.cif,-3.575108144
Li6PS4SeBr.cif,-3.489905868
Li6PS5Br_0Se.cif,-3.611053584
Li6PS5Br_10disorder.cif,-3.611053584
Li6PS5Br_18disorder.cif,-3.611053584
Li6PS5Br_20Se.cif,-3.485154533
Li6PS5Br_28disorder.cif,-3.611053584
Li6PS5Br_30Se.cif,-3.440943461
Li6PS5Br_33disorder.cif,-3.611053584
Li6PS5Br_39disorder.cif,-3.611053584
Li6PS5Br_40Se.cif,-3.437166395
Li6PS5Br_50Se.cif,-3.437166395
Li6PS5Br_60Se.cif,-3.437166395
Li6PS5Br_70Se.cif,-3.437166395
Li6PS5Br_80Se.cif,-3.437166395
Li6PS5Br_90Se.cif,-3.489905868
Li6PS5Br_n.cif,-3.611053584
Li6PS5Br_quench.cif,-3.611053584
Li6PS5Br0.25Cl0.75_n.cif,-3.282770721
Li6PS5Br0.5Cl0.5_n.cif,-3.702427277
Li6PS5Br0.75Cl0.25_n.cif,-3.428034263
Li6PS5Cl_n.cif,-3.396671823
Li6PS5Cl1.cif,-3.396671823
Li6PS5I_n.cif,-5.180848669
Li6PS5I.cif,-5.180848669
Li6PS5I0.25Br0.75_n.cif,-4.923291721
Li6PS5I0.50Br0.50_n.cif,-4.632449051
Li6PS5I0.75Br0.25_n.cif,-4.117993383
Li6PSe5Br.cif,-2.312373684
Li6PSe5I.cif,-2.739870227
Li6SbS5I_HT.cif,-3.86493603
LSnPSI_X010.cif,-4.8306458
LSnPSI_X020.cif,-4.332332348
LSnPSI_X025.cif,-4.063108342
LSnPSI_X030.cif,-3.885542444
LSPSI_X000.cif,-5.180848669
LSPSI_X010.cif,-4.230945199
LSPSI_X020.cif,-4.04142894
LSPSI_X025.cif,-4.04142894
LSPSI_X030.cif,-3.7875441
LSPSI_X040.cif,-3.423676453
LSPSI_X050.cif,-3.440350192
LSPSI_X060.cif,-3.213066853
LSPSI_X070.cif,-3.013586722
LSPSI_X080.cif,-2.912504335
mp-1198930.cif,-6.045563384
Se_Sn000.cif,-2.739870227
Se_Sn010.cif,-2.937315015
Se_Sn020.cif,-2.912086251
Se_Sn030.cif,-3.123827031
Se_Sn040.cif,-3.278746347
