name,pred
240749.cif,-3.580432177
242170.cif,-4.358839989
246816.cif,-3.637867451
248343.cif,-6.564342499
248414.cif,-6.371979237
2512.cif,-6.023656845
251656.cif,-5.61998558
253240.cif,-3.604127645
254045.cif,-3.526859283
254046.cif,-3.577570438
254047.cif,-4.348185539
254048.cif,-4.415955544
254406.cif,-4.914426804
255464.cif,-7.181810379
255465.cif,-7.181810379
255466.cif,-6.095710754
255468.cif,-6.117111683
255749.cif,-2.607953548
257190.cif,-3.604127645
257464.cif,-7.540902615
257739.cif,-10.34814548
257740.cif,-8.951967239
257741.cif,-10.54462624
257819.cif,-7.359258652
257820.cif,-5.703876495
258187.cif,-3.66626215
258921.cif,-3.301966667
258922.cif,-3.242340565
259166.cif,-4.789043427
259200.cif,-3.850916386
259201.cif,-3.229701042
259205.cif,-3.850916386
261343.cif,-8.096797943
262075.cif,-7.883665085
262923.cif,-4.172520161
263760.cif,-4.324453831
263762.cif,-3.706915855
263763.cif,-4.322488308
263764.cif,-4.322488308
263765.cif,-4.221246243
263766.cif,-4.47790575
263767.cif,-6.880297184
264462.cif,-3.755198479
264463A.cif,-4.457499504
264463B.cif,-6.069760799
264526.cif,-3.235487938
26540.cif,-7.13171196
267438.cif,-3.896277666
280927.cif,-4.306687355
281119.cif,-8.169506073
281198.cif,-7.189680099
290832.cif,-4.808001995
291218.cif,-5.673725128
291220.cif,-7.409516335
291512.cif,-6.845104218
31050.cif,-6.207324505
34118.cif,-7.560030937
34302.cif,-2.774612427
34362.cif,-9.036361694
35168.cif,-5.580210209
35275.cif,-6.161457539
35473.cif,-7.743391037
391258.cif,-3.593232393
402062.cif,-5.277690887
413370.cif,-8.261610031
416442.cif,-7.055403709
420126.cif,-4.582149982
420286.cif,-5.426317692
421479.cif,-4.929852962
422259.cif,-3.637867451
424834.cif,-4.198151588
426103.cif,-5.688290119
429902.cif,-4.765444756
431319.cif,-5.433664322
432169.cif,-3.458625793
45511.cif,-7.052854538
46022.cif,-8.073735237
46849.cif,-5.226871967
46852.cif,-6.855469227
4819.cif,-5.581353664
49646.cif,-4.205992699
50151.cif,-3.477952719
50152.cif,-3.033436537
50305.cif,-3.828991652
50306.cif,-3.215201855
55665.cif,-10.58524704
55751.cif,-4.052651882
61337.cif,-6.813266277
62137.cif,-8.850154877
642223.cif,-6.648789406
65125.cif,-10.41058922
65930.cif,-6.176100731
66007.cif,-6.726912498
66576.cif,-4.550862312
67265.cif,-8.177419662
69017.cif,-5.882998466
69678.cif,-3.639683723
73276.cif,-4.4301548
73835.cif,-4.855883121
74957.cif,-4.304438114
74958.cif,-6.633290291
74959.cif,-2.604072571
81047.cif,-4.430316925
81980.cif,-5.456912518
83380.cif,-4.012806416
83832.cif,-7.244342804
8407.cif,-4.230251789
84091.cif,-4.418918133
84763.cif,-4.169264317
84765.cif,-4.169264317
85171.cif,-4.609483242
86166.cif,-9.215335846
86169.cif,-10.00669193
87413.cif,-5.961157799
87823.cif,-4.886595726
87824.cif,-6.756511688
89617.cif,-3.503966093
9082.cif,-8.28198719
9105.cif,-4.971084595
91843.cif,-5.54814291
91844.cif,-8.890366554
92200.cif,-4.861136436
94894.cif,-7.747941971
95606.cif,-4.380179405
95607.cif,-4.770864964
95785.cif,-5.682312965
95979.cif,-5.924760818
99517.cif,-8.251010895
ccdc_2255440.cif,-7.097345829
LGPS_025Sb_300K.cif,-2.315517902
LGPSI_01.cif,-3.629663944
LGPSI_02.cif,-3.636696815
LGPSI_025_N.cif,-3.26808691
LGPSI_030_N.cif,-3.226715088
LGPSI_04.cif,-3.375415802
LGPSI_05.cif,-3.417183876
LGPSI_060_N.cif,-3.393582344
LGPSI_07.cif,-3.132110596
Li10Ge03Sn06P2S12.cif,-2.464800358
Li10Ge06Sn03P2S12.cif,-2.481957674
Li2HfCl6_Ideal Layered Structure_SSW-NN.cif,-3.000660181
Li2P2S6.cif,-5.063339233
Li2ZrCl4_p3m1.cif,-2.980005264
Li2ZrCl6_c2m.cif,-2.980005264
Li3ErCl6_BM_1min.cif,-3.477952719
Li3SbS4_neutron.cif,-4.230251789
Li3YBr6_mechanochemical.cif,-3.223610401
Li3YCl6_mechanochemical.cif,-3.171448708
Li4Ge0.25Sn0.75S4.cif,-4.236928463
Li4Ge0.25Sn0.75Se4.cif,-4.70792532
Li4Ge0.50Sn0.50S4.cif,-3.977932453
Li4Ge0.50Sn0.50Se4.cif,-4.502552509
Li4Ge0.75Sn0.25S4.cif,-4.44270134
Li4Ge0.75Sn0.25Se4.cif,-4.949920654
Li4GeSe4.cif,-5.755340576
Li4SnS2Se2.cif,-4.817525387
Li4SnS3Se.cif,-4.857584
Li4SnS4.cif,-4.808001995
Li4SnSe4.cif,-5.747674942
Li4SnSSe3.cif,-4.673478603
Li5_9SbS4_9I1_1_HT.cif,-4.487398624
Li5.5PS4.5Cl1.5.cif,-3.189579725
Li5.75PS4.75Cl1.25.cif,-4.267375469
Li58PSe48Br12.cif,-4.023216724
Li59PSe49Br11.cif,-4.304050446
Li6.125P0.875Si0.125S5Br.cif,-3.110759974
Li6.1Si0.1Sb0.9S5I.cif,-3.809270859
Li6.25PS5.25Cl0.75.cif,-3.349202156
Li6.2Ge0.2Sb0.8S5I.cif,-3.793522358
Li6.2Sn0.2Sb0.8S5I.cif,-3.886920452
Li6.4Si0.4Sb0.6S5I.cif,-3.572937965
Li6.5P0.5Si0.5S5Br.cif,-3.150005341
Li6.5PS5.5Cl0.5.cif,-3.556096554
Li6.5Si0.5Sb0.5S5I.cif,-3.683119535
Li6.75PS5.75Cl0.25.cif,-2.955240488
Li6.7Si0.7Sb0.3S5I.cif,-3.147359371
Li6P1Si0S5Br.cif,-3.683707714
Li6PS2Se3I.cif,-4.397436142
Li6PS3Se2I.cif,-4.475777626
Li6PS4SeBr.cif,-3.458267927
Li6PS5Br_0Se.cif,-3.683707714
Li6PS5Br_10disorder.cif,-3.683707714
Li6PS5Br_18disorder.cif,-3.683707714
Li6PS5Br_20Se.cif,-3.508831501
Li6PS5Br_28disorder.cif,-3.683707714
Li6PS5Br_30Se.cif,-3.26500845
Li6PS5Br_33disorder.cif,-3.683707714
Li6PS5Br_39disorder.cif,-3.683707714
Li6PS5Br_40Se.cif,-3.403838634
Li6PS5Br_50Se.cif,-3.306553364
Li6PS5Br_60Se.cif,-3.377030134
Li6PS5Br_70Se.cif,-3.417254448
Li6PS5Br_80Se.cif,-3.276742458
Li6PS5Br_90Se.cif,-3.347126007
Li6PS5Br_n.cif,-3.683707714
Li6PS5Br_quench.cif,-3.683707714
Li6PS5Br0.25Cl0.75_n.cif,-3.112170696
Li6PS5Br0.5Cl0.5_n.cif,-3.229701042
Li6PS5Br0.75Cl0.25_n.cif,-3.115133047
Li6PS5Cl_n.cif,-3.850916386
Li6PS5Cl1.cif,-3.850916386
Li6PS5I_n.cif,-4.290608883
Li6PS5I.cif,-4.290608883
Li6PS5I0.25Br0.75_n.cif,-3.206176281
Li6PS5I0.50Br0.50_n.cif,-3.302541256
Li6PS5I0.75Br0.25_n.cif,-3.203523159
Li6PSe5Br.cif,-3.938715935
Li6PSe5I.cif,-4.733882427
Li6SbS5I_HT.cif,-4.506472111
LSnPSI_X010.cif,-3.74488616
LSnPSI_X020.cif,-3.717598438
LSnPSI_X025.cif,-3.299703598
LSnPSI_X030.cif,-3.306669712
LSPSI_X000.cif,-4.290608883
LSPSI_X010.cif,-3.639796019
LSPSI_X020.cif,-3.674316168
LSPSI_X025.cif,-3.28653574
LSPSI_X030.cif,-3.272928715
LSPSI_X040.cif,-3.440783024
LSPSI_X050.cif,-3.51018858
LSPSI_X060.cif,-3.447163582
LSPSI_X070.cif,-3.154675245
LSPSI_X080.cif,-3.418044567
mp-1198930.cif,-6.327216625
Se_Sn000.cif,-4.733882427
Se_Sn010.cif,-3.975843906
Se_Sn020.cif,-3.547742844
Se_Sn030.cif,-3.592088223
Se_Sn040.cif,-3.370063782
